-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  aten::copy_        28.42%        3.596s        28.42%        3.596s      34.174us        105233  
    aten::upsample_bilinear2d        13.84%        1.751s        13.93%        1.762s     352.463us          5000  
                  aten::index         8.04%        1.018s         8.63%        1.092s      83.682us         13044  
        aten::grid_sampler_2d         5.35%     676.844ms         5.38%     680.451ms     828.808us           821  
                    aten::div         5.27%     667.003ms         5.49%     694.301ms      26.773us         25933  
                   aten::flip         3.67%     465.000ms         3.83%     484.600ms      96.920us          5000  
                  aten::round         3.04%     384.223ms         3.04%     384.223ms      59.404us          6468  
                  aten::where         2.26%     285.952ms         2.26%     286.322ms     402.703us           711  
               aten::_to_copy         2.08%     263.144ms        21.98%        2.782s      34.067us         81665  
                   aten::div_         2.05%     259.106ms         2.06%     261.164ms      47.649us          5481  
                    aten::mul         1.86%     235.271ms         3.27%     414.217ms      63.952us          6477  
               aten::bincount         1.82%     230.554ms         3.63%     459.605ms      70.470us          6522  
                  aten::clamp         1.55%     196.656ms         1.55%     196.671ms      24.627us          7986  
                    aten::add         1.47%     185.881ms         1.47%     185.881ms      18.772us          9902  
          aten::empty_strided         1.30%     164.784ms         1.30%     164.784ms       1.703us         96766  
                   aten::sub_         1.03%     129.870ms         1.03%     129.870ms      25.974us          5000  
                     aten::to         1.01%     128.337ms        22.55%        2.854s      24.013us        118862  
                     aten::ge         0.98%     124.627ms         1.77%     224.085ms      20.921us         10711  
     aten::mkldnn_convolution         0.88%     110.926ms         0.88%     111.317ms       1.102ms           101  
                    aten::min         0.84%     106.545ms         0.90%     113.428ms      17.392us          6522  
                    aten::bmm         0.80%     101.525ms         0.80%     101.530ms     123.666us           821  
                    aten::max         0.78%      98.858ms         0.78%      98.875ms      15.160us          6522  
                  aten::empty         0.75%      94.522ms         0.75%      94.522ms       0.546us        173263  
                    aten::sub         0.72%      91.574ms         0.87%     110.144ms      51.638us          2133  
                  aten::slice         0.69%      87.401ms         0.77%      97.691ms       2.083us         46910  
                 aten::select         0.68%      85.982ms         0.69%      86.936ms       1.932us         45000  
               aten::uniform_         0.58%      73.909ms         0.58%      73.909ms       1.651us         44755  
                aten::randint         0.52%      65.409ms         0.75%      94.909ms       3.796us         25000  
                    aten::cat         0.51%      64.838ms         0.56%      70.933ms      32.628us          2174  
                   aten::rand         0.47%      58.895ms         0.83%     105.122ms       4.775us         22015  
                   aten::view         0.42%      52.955ms         0.42%      52.955ms       1.432us         36980  
                     aten::le         0.38%      48.671ms         0.82%     103.787ms       8.638us         12015  
                    aten::sum         0.37%      46.232ms         0.44%      56.171ms       5.725us          9812  
                aten::nonzero         0.33%      41.470ms         0.33%      41.501ms       6.363us          6522  
                  aten::alias         0.32%      41.032ms         0.32%      41.032ms       1.569us         26153  
                     aten::eq         0.32%      40.892ms         0.54%      67.846ms       5.754us         11792  
                  aten::clone         0.31%      39.564ms         8.54%        1.081s     105.943us         10202  
                   aten::item         0.31%      38.905ms         0.31%      38.962ms       0.361us        107829  
        aten::constant_pad_nd         0.29%      37.148ms         0.56%      70.327ms      10.783us          6522  
                    aten::exp         0.25%      32.175ms         0.25%      32.175ms       2.830us         11370  
                 aten::cumsum         0.25%      31.557ms         0.25%      31.565ms       4.840us          6522  
                     aten::ne         0.24%      29.983ms         0.24%      30.835ms       4.540us          6792  
             aten::as_strided         0.22%      28.456ms         0.22%      28.456ms       0.198us        143794  
                    aten::any         0.21%      26.919ms         0.21%      26.946ms       5.389us          5000  
            aten::bitwise_and         0.21%      26.753ms         0.24%      29.777ms      54.537us           546  
                  aten::fill_         0.19%      24.222ms         0.19%      24.222ms       0.734us         33020  
             aten::is_nonzero         0.19%      23.927ms         0.29%      36.398ms       1.085us         33537  
                aten::random_         0.18%      23.101ms         0.18%      23.101ms       0.924us         25000  
                aten::reshape         0.17%      21.021ms         0.18%      22.739ms       1.640us         13865  
               aten::linspace         0.16%      19.912ms         0.21%      27.116ms       3.104us          8736  
              aten::unsqueeze         0.15%      18.591ms         0.15%      18.730ms       1.673us         11194  
           aten::grid_sampler         0.13%      16.485ms         5.39%     682.469ms     831.266us           821  
                aten::detach_         0.12%      14.797ms         0.12%      14.839ms       1.169us         12689  
                  aten::zeros         0.11%      13.513ms         0.13%      16.747ms       2.568us          6522  
                   aten::amin         0.10%      12.504ms         0.10%      12.774ms      47.311us           270  
                   aten::amax         0.09%      11.804ms         0.09%      11.804ms      43.719us           270  
                  aten::stack         0.08%      10.753ms         0.66%      83.731ms      38.515us          2174  
                 aten::expand         0.08%      10.640ms         0.08%      10.745ms       2.106us          5101  
                 aten::narrow         0.08%       9.688ms         0.16%      20.787ms       2.390us          8696  
                    aten::pad         0.07%       9.112ms         0.62%      78.139ms      11.981us          6522  
             aten::empty_like         0.07%       8.833ms         0.12%      14.851ms       2.911us          5101  
                 aten::unbind         0.06%       7.245ms         0.07%       8.399ms       7.684us          1093  
                 aten::arange         0.04%       4.473ms         0.05%       6.877ms       6.298us          1092  
                 aten::conv2d         0.03%       3.390ms         0.90%     114.055ms       1.129ms           101  
                aten::__and__         0.03%       3.389ms         0.24%      30.588ms      56.022us           546  
                   aten::mean         0.02%       2.755ms         0.09%      11.015ms      29.851us           369  
              aten::transpose         0.02%       2.341ms         0.02%       3.040ms       3.703us           821  
                    aten::abs         0.02%       2.040ms         0.02%       2.856ms       5.289us           540  
               aten::isfinite         0.01%       1.841ms         0.05%       6.830ms      25.296us           270  
             aten::unsqueeze_         0.01%       1.812ms         0.01%       1.817ms       2.213us           821  
         aten::_reshape_alias         0.01%       1.795ms         0.01%       1.795ms       0.129us         13865  
                   aten::rsub         0.01%       1.761ms         0.04%       5.446ms       9.974us           546  
       aten::_index_put_impl_         0.01%       1.534ms         0.02%       2.139ms       3.961us           540  
            aten::logical_not         0.01%       1.320ms         0.01%       1.812ms       3.356us           540  
             aten::index_put_         0.01%       1.163ms         0.03%       3.294ms       6.100us           540  
           aten::_convolution         0.01%       1.001ms         0.89%     113.260ms       1.121ms           101  
             aten::reciprocal         0.01%     871.000us         0.01%     871.000us       3.226us           270  
           aten::masked_fill_         0.00%     525.000us         0.00%     525.000us       0.972us           540  
            aten::convolution         0.00%     492.000us         0.90%     113.752ms       1.126ms           101  
                aten::squeeze         0.00%     456.000us         0.00%     461.000us       4.564us           101  
                   aten::ones         0.00%     342.000us         0.00%     555.000us       5.495us           101  
             aten::contiguous         0.00%     112.000us         0.01%     922.000us       9.129us           101  
                aten::resize_         0.00%      97.000us         0.00%      97.000us       0.178us           546  
            aten::as_strided_         0.00%      72.000us         0.00%      72.000us       0.010us          7444  
    aten::_local_scalar_dense         0.00%      71.000us         0.00%      71.000us       0.001us        107829  
                      detach_         0.00%      44.000us         0.00%      44.000us       0.003us         12689  
                  aten::zero_         0.00%      23.000us         0.00%      23.000us       0.004us          6522  
           aten::resolve_conj         0.00%       5.000us         0.00%       5.000us       0.003us          1642  
             aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us         23330  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 12.655s

